Guid	ID	Name	LocalizedName	#	Shortcut
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16384	WorkflowDesigner.GoToParent	ワークフローデザイナー.親に移動	2	ワークフロー デザイナー::Ctrl+E, P
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16400	WorkflowDesigner.ExpandInPlace	ワークフローデザイナー.埋め込み先で展開	1	ワークフロー デザイナー::Ctrl+E, Ctrl+E
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16400	WorkflowDesigner.ExpandInPlace	ワークフローデザイナー.埋め込み先で展開	2	ワークフロー デザイナー::Ctrl+E, E
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16432	WorkflowDesigner.Collapse	ワークフローデザイナー.折りたたむ	1	ワークフロー デザイナー::Ctrl+E, Ctrl+C
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16432	WorkflowDesigner.Collapse	ワークフローデザイナー.折りたたむ	2	ワークフロー デザイナー::Ctrl+E, C
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16448	WorkflowDesigner.CollapseAll	ワークフローデザイナー.すべて折りたたむ	1	ワークフロー デザイナー::Ctrl+E, Ctrl+Y
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16448	WorkflowDesigner.CollapseAll	ワークフローデザイナー.すべて折りたたむ	2	ワークフロー デザイナー::Ctrl+E, Y
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16464	WorkflowDesigner.Restore	ワークフローデザイナー.復元	1	ワークフロー デザイナー::Ctrl+E, Ctrl+R
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16464	WorkflowDesigner.Restore	ワークフローデザイナー.復元	2	ワークフロー デザイナー::Ctrl+E, R
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16416	WorkflowDesigner.ExpandAll	ワークフローデザイナー.すべて展開	1	ワークフロー デザイナー::Ctrl+E, Ctrl+X
